,始发地,目的地,所在航空公司,航班号,始发机场,目的机场,起飞时间,落地时间,机票价格,数据来源,日期
271,北京,广州,东方航空,MU3010,首都国际机场,白云机场,15:30,19:05,"1,270",东方航空,20200723
272,北京,广州,东方航空,MU3007,首都国际机场,白云机场,18:30,21:35,"1,270",东方航空,20200723
273,北京,广州,东方航空,MU5181,首都国际机场,白云机场,07:15,10:35,230,东方航空,20200724
274,北京,广州,东方航空,MU9661,大兴国际机场,白云机场,08:15,未知,240,东方航空,20200724
275,北京,广州,东方航空,MU5132,首都国际机场,白云机场,16:50,16:50,240,东方航空,20200724
276,北京,广州,东方航空,MU5281,首都国际机场,白云机场,16:15,19:35,230,东方航空,20200724
277,北京,广州,东方航空,MU3005,首都国际机场,白云机场,09:30,12:50,"1,270",东方航空,20200724
278,北京,广州,东方航空,MU3010,首都国际机场,白云机场,15:30,19:05,"1,270",东方航空,20200724
279,北京,广州,东方航空,MU3007,首都国际机场,白云机场,18:30,21:35,"1,270",东方航空,20200724
280,北京,广州,东方航空,MU5181,首都国际机场,白云机场,07:15,10:35,230,东方航空,20200725
281,北京,广州,东方航空,MU9661,大兴国际机场,白云机场,08:15,未知,240,东方航空,20200725
282,北京,广州,东方航空,MU5132,首都国际机场,白云机场,16:50,16:50,240,东方航空,20200725
283,北京,广州,东方航空,MU5281,首都国际机场,白云机场,16:15,19:35,230,东方航空,20200725
284,北京,广州,东方航空,MU3005,首都国际机场,白云机场,09:30,13:00,"1,270",东方航空,20200725
285,北京,广州,东方航空,MU3010,首都国际机场,白云机场,15:30,19:05,"1,270",东方航空,20200725
286,北京,广州,东方航空,MU3007,首都国际机场,白云机场,18:30,21:35,"1,270",东方航空,20200725
287,北京,广州,东方航空,MU5181,首都国际机场,白云机场,07:15,10:35,230,东方航空,20200726
288,北京,广州,东方航空,MU9661,大兴国际机场,白云机场,08:15,未知,240,东方航空,20200726
289,北京,广州,东方航空,MU5132,首都国际机场,白云机场,16:50,16:50,240,东方航空,20200726
290,北京,广州,东方航空,MU5281,首都国际机场,白云机场,16:15,19:35,230,东方航空,20200726
291,北京,广州,东方航空,MU3005,首都国际机场,白云机场,09:30,12:50,"1,270",东方航空,20200726
292,北京,广州,东方航空,MU3010,首都国际机场,白云机场,15:30,18:55,"1,270",东方航空,20200726
293,北京,广州,东方航空,MU3007,首都国际机场,白云机场,18:30,21:35,"1,270",东方航空,20200726
294,北京,广州,东方航空,MU5181,首都国际机场,白云机场,07:15,10:35,230,东方航空,20200727
295,北京,广州,东方航空,MU9661,大兴国际机场,白云机场,08:15,未知,240,东方航空,20200727
296,北京,广州,东方航空,MU5132,首都国际机场,白云机场,16:50,16:50,240,东方航空,20200727
297,北京,广州,东方航空,MU5281,首都国际机场,白云机场,16:15,19:35,230,东方航空,20200727
298,北京,广州,东方航空,MU3005,首都国际机场,白云机场,09:30,13:00,"1,270",东方航空,20200727
299,北京,广州,东方航空,MU3010,首都国际机场,白云机场,15:30,19:05,"1,270",东方航空,20200727
300,北京,广州,东方航空,MU3007,首都国际机场,白云机场,18:30,21:35,"1,270",东方航空,20200727
301,北京,广州,东方航空,MU5181,首都国际机场,白云机场,07:15,10:35,230,东方航空,20200729
302,北京,广州,东方航空,MU9661,大兴国际机场,白云机场,08:15,未知,240,东方航空,20200729
303,北京,广州,东方航空,MU5132,首都国际机场,白云机场,16:50,16:50,240,东方航空,20200729
304,北京,广州,东方航空,MU5281,首都国际机场,白云机场,16:15,19:35,230,东方航空,20200729
305,北京,广州,东方航空,MU3005,首都国际机场,白云机场,09:30,12:50,"1,270",东方航空,20200729
306,北京,广州,东方航空,MU3010,首都国际机场,白云机场,15:30,19:05,"1,270",东方航空,20200729
307,北京,广州,东方航空,MU3007,首都国际机场,白云机场,18:30,21:35,"1,270",东方航空,20200729
